# ar,dec
002.30639,+59.17538
010.10103,+56.56888
014.10877,+60.70556
021.46546,+60.25968
028.56630,+63.67444
088.84349,+07.48755
083.85029,+09.98732
081.33362,+06.39125
085.23964,-01.85945
084.07214,-01.19286
082.96093,-00.30047
086.93533,-09.65996
078.63692,-08.18324
310.43221,+45.28463
305.55709,+40.27983
311.59504,+33.93922
296.18302,+45.21549
299.09777,+35.03385
292.70513,+28.02577
286.34156,+13.91037
296.58956,+10.62436
297.71063,+08.87854
298.81860,+06.39972
298.09336,+00.95811
294.23161,-01.31765
286.58266,-04.85296
302.79171,-00.76763
291.37160,+03.09397
074.36868,+33.35856
076.53960,+41.29538
075.61234,+43.88914
079.28669,+45.92659
089.86777,+44.95477
089.93143,+37.38667